OTUId,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S1,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S2,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S3,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S4,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S5,S60,S61,S62,S6,S7,S8,S9,Sum
OTU_3441,0,0,0,0,0,0,0,0,0,0.002441078,0.001511556,0,0,0.01268977,0,0.018865621,0.030220154,0.042383309,0.01849768,0,0,0.011144545,0,0,0,0,0,0,0,0,0,0,0.006882194,0,0,0.002323906,0,0,0,0,0,0.001319,0,0,0,0,0,0,0,0,0,0,0,0,0.012673653,0,0,0,0.010859139,0,0,0.018076645,0.189888251
OTU_7410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054377379,0,0.001367204,0,0.073825046,0.045459555,0,0,0,0,0,0,0.003538821,0,0,0.000794685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003268187,0,0,0,0,0,0,0.007239426,0,0,0,0.189870303
OTU_1401,0,0,0,0,0,0,0,0,0,0.187963042,0,0.001900671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189863713
OTU_1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113577,0,0,0,0,0,0,0,0,0,0,0.023840554,0,0,0,0,0,0.006860357,0,0,0,0,0,0,0,0.014395739,0.084840772,0.032363562,0.02629512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189731875
OTU_8419,0,0,0,0,0,0.002942475,0,0,0,0,0,0,0,0.003460846,0,0,0,0,0,0,0,0.005572272,0,0,0,0,0,0,0,0.001596602,0,0,0.051616455,0,0,0,0.003430179,0.007257421,0,0,0,0.036932006,0,0,0,0,0,0,0,0.06718624,0,0.000653637,0,0,0.007799171,0,0,0,0.001206571,0,0,0,0.189653876
OTU_5327,0.00766832,0,0,0,0.000696262,0,0.006250977,0,0,0,0,0.009503355,0,0,0.003027505,0.007768197,0.049863254,0.008203221,0.003082947,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003441097,0,0,0,0,0.00483828,0.04252454,0,0,0.001319,0,0.014828288,0,0,0,0,0,0,0,0,0,0,0.001949793,0,0,0,0.011462424,0,0,0.012653651,0.189081112
OTU_5974,0.000852036,0,0,0,0,0.004904124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002786136,0,0,0,0,0,0,0,0,0,0,0.147967172,0,0,0,0,0,0,0,0,0.017147003,0,0.008896973,0,0,0,0,0,0,0,0.000653637,0,0,0.005849379,0,0,0,0,0,0,0,0.18905646
OTU_5311,0,0.001648723,0,0,0,0.000980825,0.017711101,0,0.001450684,0.019528628,0.001511556,0.011404026,0.069472185,0.026533155,0,0.003329227,0,0.006836018,0.010790313,0,0,0.002786136,0,0.002719041,0.003124089,0.003072669,0,0,0,0,0,0,0,0,0,0,0,0,0.001771856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000974896,0,0,0,0.003016427,0,0,0,0.188661555
OTU_2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158937,0,0,0,0.022307486,0,0,0,0,0,0,0,0,0,0.112286763,0.036360331,0.005110036,0.010927842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188581829
OTU_5520,0,0.049461692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00340731,0.003443906,0,0.021969259,0.009063471,0.02499271,0.006145337,0.037667216,0,0,0,0,0.004191378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006488406,0.020328784,0,0,0.001307275,0,0,0,0,0,0,0,0,0,0,0.188466745
OTU_2084,0.000852036,0.003297446,0,0,0,0,0.001041829,0,0,0.001220539,0.003023112,0.001900671,0,0,0,0.00443897,0.003022015,0.008203221,0.003082947,0,0.000688781,0,0,0.141390155,0.003124089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005931315,0,0,0,0,0,0,0,0,0,0.004833954,0,0,0,0,0.000603285,0,0,0.001807664,0.18846203
OTU_2100,0,0.001648723,0,0,0,0,0.023962077,0,0,0.009764314,0,0,0,0,0,0,0,0,0,0,0,0,0.010577792,0,0.002082726,0,0.016143092,0,0,0.020755832,0.000794685,0.023052581,0,0,0,0,0,0,0,0,0.047679147,0,0,0.00395421,0,0,0,0,0.028008547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188423726
