Sample,#OTU ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,S46
S46,9115,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,2715,Bacteria , Bacteroidetes , Sphingobacteriia , Sphingobacteriales , Chitinophagaceae , Segetibacter , Segetibacter sp,0
S46,5874,Bacteria , Proteobacteria , Betaproteobacteria , Rhodocyclales , Rhodocyclaceae , Propionivibrio , Propionivibrio limicola,0
S46,3914,Bacteria , Proteobacteria , Alphaproteobacteria , Rhodospirillales , Acetobacteraceae , Paracraurococcus , Paracraurococcus sp,0
S46,6572,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,910,Bacteria , Proteobacteria , Betaproteobacteria , Burkholderiales , Oxalobacteraceae , Herbaspirillum , Herbaspirillum sp,0
S46,5268,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,5301,Bacteria , Proteobacteria , Alphaproteobacteria , Rhodospirillales , Acetobacteraceae , Rhodopila , Rhodopila globiformis,0
S46,258,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,9890,Bacteria , Actinobacteria , Actinobacteria (class) , Acidimicrobiales , Iamiaceae , Iamia , Iamia majanohamensis,0
S46,4311,Bacteria , Actinobacteria , Actinobacteria (class) , Actinomycetales , Dietziaceae , Dietzia , Dietzia sp,0
S46,13498,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,2288,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,451,Bacteria , Proteobacteria , Betaproteobacteria , Burkholderiales , Oxalobacteraceae , Herbaspirillum , Herbaspirillum sp,0
S46,11700,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
