#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S7	S8	S9
4505	Bacteria 	 Proteobacteria 	 Alphaproteobacteria 	 Rhizobiales 	 Beijerinckiaceae 	 Chelatococcus 	 Chelatococcus sp	2	0	0	0	0	0	0	0	1	5	0	21	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
4506	Bacteria 	 Proteobacteria 	 Alphaproteobacteria 	 Rhodospirillales 	 Rhodospirillaceae 	 Nisaea 	 Nisaea sp	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	2	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4507	Bacteria 	 Bacteroidetes 	 Sphingobacteriia 	 Sphingobacteriales 	 Sphingobacteriaceae 	 Sphingobacterium 	 Sphingobacterium sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
4508	Bacteria 	 Proteobacteria 	 Alphaproteobacteria 	 Sphingomonadales 	 Sphingomonadaceae 	 Sphingomonas 	 Sphingomonas sp	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
4509	No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4510	Bacteria 	 Proteobacteria 	 Alphaproteobacteria 	 Rhodospirillales 	 Acetobacteraceae 	 Craurococcus 	 Craurococcus roseus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4511	Bacteria 	 Firmicutes 	 Clostridia 	 Clostridiales 	 Eubacteriaceae 	 Eubacterium 	 Eubacterium sp	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4512	No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
4513	No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit	7	8	6	0	0	0	0	0	0	2	0	0	4	0	0	0	2	1	1	0	3	0	0	3	11	13	0	9	0	0	0	1	0	20	0	0	0	0	0	0	0	5	0	0	0	0	2	0	29	0	0	0	13	0	0	1	0	0	0	0	0	0
4514	Bacteria 	 Proteobacteria 	 Alphaproteobacteria 	 Sphingomonadales 	 Sphingomonadaceae 	 Sphingopyxis 	 Sphingopyxis sp	0	0	0	0	562	202	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	201	0	0	0	0	0	0	0	0	0	0	0	1	0	125	0	0	0	2
